10.1016/j.cogsys.2012.06.003,Emergence in stigmergic and complex adaptive systems: A formal discrete event systems perspective,"Abstract: Complex systems have been studied by researchers from every discipline: biology, chemistry, physics, sociology, mathematics and economics and more. Depending upon the discipline, complex systems theory has accrued many flavors. We are after a formal representation, a model that can predict the outcome of a complex adaptive system (CAS). In this article, we look at the nature of complexity, then provide a perspective based on discrete event systems (DEVS) theory. We pin down many of the shared features between CAS and artificial systems. We begin with an overview of network science showing how adaptive behavior in these scale-free networks can lead to emergence through stigmergy in CAS. We also address how both self-organization and emergence interplay in a CAS. We then build a case for the view that stigmergic systems are a special case of CAS. We then discuss DEVS levels of systems specifications and present the dynamic structure extensions of DEVS formalism that lends itself to a study of CAS and in turn, stigmergy. Finally, we address the shortcomings and the limitation of current DEVS extensions and propose the required augmentation to model stigmergy and CAS. (C) 2012 Elsevier B.V. All rights reserved. "," Computer Science, Artificial Intelligence; Neurosciences; Psychology, Experimental "
10.1080/03014223.2011.627565,"Banded geckos, Gekko vittatus (Reptilia, Gekkonidae), as the main prey of barn owls (Tyto alba) on the Torres Islands (northern Vanuatu)","Abstract: A large sample of bones representing prey remains of barn owls (Tyto alba) was collected from the surface of the floor of a cave on Toga Island, Torres Islands, a remote island of northern Vanuatu. These remains allowed us to obtain a first overview of the prey of barn owls on that island, knowing that elsewhere mammals constitute the major prey group. The dominant prey species were banded geckos (Gekko vittatus-47% of prey individuals found in our bone sample) followed by rats (Rattus spp.-35%). Also present were lesser numbers of other gecko species (Gehyra oceanica, Nactus multicarinatus), skinks (Emoia spp.), birds, and bats. Data show that nocturnal birds of prey remain important predators of large geckos on Toga Island. This finding contradicts interpretations of other late historical (following human colonisation), non-cultural bone assemblages from barn owls from other Pacific islands, where rats have replaced geckos as primary prey. The same situation as reported on Toga Island occurs in other places like the Canary Islands where barn owls also prey predominantly on an endemic gecko species. These observations suggest that the barn owl is an opportunistic predator taking whatever prey is available. The unanswered question is why geckos are the most frequent prey of barn owls on some islands and not on others. ", Zoology 
10.1080/03014223.2011.645838,Beetle community responses to grey willow (Salix cinerea) invasion within three New Zealand wetlands,"Abstract: We investigated the effects of invasion by introduced grey willow (Salix cinerea) on beetle communities within four wetland vegetation types: native vegetation, native vegetation following grey willow removal, native vegetation undergoing grey willow invasion and dense grey willow-dominated vegetation. In total, 1505 beetles from 90 species were collected using modified Malaise traps. Native wetland vegetation had significantly lower beetle species richness than willow-dominated vegetation and was dominated by herbivores, whereas detritivores characterised willow-dominated vegetation. Beetle abundance was highest in the willow-dominated vegetation and mostly comprised detritivores. In contrast, beetle abundance was lowest in native wetland vegetation, but had even proportions of herbivores and detritivores. Native wetland vegetation had a high proportion of native beetles present. As grey willows invaded, introduced beetles became more common. The beetle community composition differed significantly between grey willow-dominated vegetation and native wetland vegetation. These compositional differences were mainly due to the increasing complexity of vegetation structure following grey willow invasion. The beetle communities within restored native wetland vegetation were most similar to those within the native wetland vegetation. From a conservation perspective, these results are encouraging and suggest that, although grey willows dramatically alter the composition of beetle communities present, these communities can be restored to a beetle fauna that is similar to those found within native wetland through the removal of the willows. ", Zoology 
10.1093/nar/gks486,Quantitative proteomics profiling of the poly(ADP-ribose)-related response to genotoxic stress,"Abstract: Upon DNA damage induction, DNA-dependent poly(ADP-ribose) polymerases (PARPs) synthesize an anionic poly(ADP-ribose) (pADPr) scaffold to which several proteins bind with the subsequent formation of pADPr-associated multiprotein complexes. We have used a combination of affinity-purification methods and proteomics approaches to isolate these complexes and assess protein dynamics with respect to pADPr metabolism. As a first approach, we developed a substrate trapping strategy by which we demonstrate that a catalytically inactive Poly(ADP-ribose) glycohydrolase (PARG) mutant can act as a physiologically selective bait for the isolation of specific pADPr-binding proteins through its macrodomain-like domain. In addition to antibody-mediated affinity-purification methods, we used a pADPr macrodomain affinity resin to recover pADPr-binding proteins and their complexes. Second, we designed a time course experiment to explore the changes in the composition of pADPr-containing multiprotein complexes in response to alkylating DNA damage-mediated PARP activation. Spectral count clustering based on GeLC-MS/MS analysis was complemented with further analyses using high precision quantitative proteomics through isobaric tag for relative and absolute quantitation (iTRAQ)- and Stable isotope labeling by amino acids in cell culture (SILAC)-based proteomics. Here, we present a valuable resource in the interpretation of systems biology of the DNA damage response network in the context of poly(ADP-ribosyl)ation and provide a basis for subsequent investigations of pADPr-binding protein candidates. ", Biochemistry & Molecular Biology 
10.1093/nar/gks530,Analysis of rRNA processing and translation in mammalian cells using a synthetic 18S rRNA expression system,"Abstract: Analysis of processing, assembly, and function of higher eukaryotic ribosomal RNA (rRNA) has been hindered by the lack of an expression system that enables rRNA to be modified and then examined functionally. Given the potential usefulness of such a system, we have developed one for mammalian 18S rRNA. We inserted a sequence tag into expansion segment 3 of mouse 18S rRNA to monitor expression and cleavage by hybridization. Mutations were identified that confer resistance to pactamycin, allowing functional analysis of 40S ribosomal subunits containing synthetic 18S rRNAs by selectively blocking translation from endogenous (pactamycin-sensitive) subunits. rRNA constructs were suitably expressed in transfected cells, shown to process correctly, incorporate into approximate to 15% of 40S subunits, and function normally based on various criteria. After rigorous analysis, the system was used to investigate the importance of sequences that flank 18S rRNA in precursor transcripts. Although deletion analysis supported the requirement of binding sites for the U3 snoRNA, it showed that a large segment of the 5' external transcribed spacer and the entire first internal transcribed spacer, both of which flank 18S rRNA, are not required. The success of this approach opens the possibility of functional analyses of ribosomes, with applications in basic research and synthetic biology. ", Biochemistry & Molecular Biology 
10.1093/nar/gks410,"Targeting duplex DNA with chimeric alpha,beta-triplex-forming oligonucleotides","Abstract: Triplex-directed DNA recognition is strictly limited by polypurine sequences. In an attempt to address this problem with synthetic biology tools, we designed a panel of short chimeric alpha,beta-triplex-forming oligonucleotides (TFOs) and studied their interaction with fluorescently labelled duplex hairpins using various techniques. The hybridization of hairpin with an array of chimeric probes suggests that recognition of double-stranded DNA follows complicated rules combining reversed Hoogsteen and non-canonical homologous hydrogen bonding. In the presence of magnesium ions, chimeric TFOs are able to form highly stable alpha,beta-triplexes, as indicated by native gel-electrophoresis, on-array thermal denaturation and fluorescence-quenching experiments. CD spectra of chimeric triplexes exhibited features typically observed for anti-parallel purine triplexes with a GA or GT third strand. The high potential of chimeric alpha,beta-TFOs in targeting double-stranded DNA was demonstrated in the EcoRI endonuclease protection assay. In this paper, we report, for the first time, the recognition of base pair inversions in a duplex by chimeric TFOs containing alpha-thymidine and alpha-deoxyguanosine. ", Biochemistry & Molecular Biology 
10.1016/j.oooo.2012.06.002,"Fibro-osseous disease: harmonizing terminology with biology
","Abstract: Classification systems and associated terminology are inherently slow in reflecting rapidly unfolding scientific discoveries in the mechanism and presentation of diseases. Misleading concepts, which often have historical value only, may become entrenched in the literature, leading to confusion and inaccurate communication. The purpose of this communication is to stimulate discussion and debate on inappropriate terminology associated with fibro-osseous disease that continues to be perpetuated in the literature. Use of the terms ""cementum,"" ""aggressive,"" ""active,"" ""gigantiform,"" and ""maturation"" are questioned, and the criteria applied to the interpretation of secondary changes in fibro-osseous lesions critically are evaluated. (Oral Surg Oral Med Oral Pathol Oral Radiol 2012;114:388-392) "," Dentistry, Oral Surgery & Medicine "
10.1016/j.oooo.2012.02.030,Craniofacial bone tissue engineering,"Abstract: There are numerous conditions, such as trauma, cancer, congenital malformations, and progressive deforming skeletal diseases, that can compromise the function and architectonics of bones of craniofacial region. The need to develop new approaches for treatment of these disorders arises from the fact that conventional therapeutic strategies face many obstacles and limitations. The use of tissue engineering in regeneration of craniofacial bone structures is a very promising possibility and a great challenge for researchers and practitioners. Developments in stem cell biology and engineering have led to the discovery of different stem cell populations and biodegradable materials with suitable properties. This review summarizes the current achievements in tissue engineering of craniofacial bone, temporomandibular joint, and periodontal ligament. (Oral Surg Oral Med Oral Pathol Oral Radiol 2012;114:e1-e9) "," Dentistry, Oral Surgery & Medicine "
10.1287/orsc.1110.0700,Digital Science and Knowledge Boundaries in Complex Innovation,"Abstract: Drug discovery is a complex innovation process in which scientists need to make sense of ambiguous findings and grapple with numerous unpredictable interdependencies over many years of product development. Digitalization has combined with expanding science to address this complexity, creating new ways to measure, analyze, and model chemical compounds, diseases, and human biology. We interviewed 85 scientists and managers working on drug discovery to understand how they deal with complexity. We find a major knowledge fault line between digital scientists, who use computers as laboratories and manipulate signs, and therapy scientists, who use conventional laboratories and manipulate physical material. We build on research on epistemic cultures and knowing in practice to develop empirically grounded theory for the role of digital science in complex innovation. We propose that digitalization creates a new form of knowledge that provides essential complementary insights for complex innovation that cannot exist otherwise. However, digitalization also creates new knowledge boundaries that concern central activities of innovation. These boundaries highlight challenges of complex innovation that digital sciences can help address, but only if the innovation activities are transformed so that digital and therapy sciences can integrate their complementary knowledge. ", Management 
10.1017/S0031182012000558,Anthelmintic tolerance in free-living and facultative parasitic isolates of Halicephalobus (Panagrolaimidae),"Abstract: Studies on anthelmintic resistance in equine parasites do not include facultative parasites. Halicephalobus gingivalis is a free-living bacterivorous nematode and a known facultative parasite of horses with a strong indication of some form of tolerance to common anthelmintic drugs. This research presents the results of an in vitro study on the anthelmintic tolerance of several isolates of Halicephalobus to thiabendazole and ivermectin using an adaptation of the Micro-Agar Larval Development Test hereby focusing on egg hatching and larval development. Panagrellus redivivus and Panagrolaimus superbus were included as a positive control. The results generally show that the anthelmintic tolerance of Halicephalobus to both thiabendazole and ivermectin was considerably higher than that of the closely related Panagrolaimidae and, compared to other studies, than that of obligatory equine parasites. Our results further reveal a remarkable trend of increasing tolerance from fully free-living isolates towards horse-associated isolates. In vitro anthelmintic testing with free-living and facultative parasitic nematodes offers the advantage of observing drug effect on the complete life cycle as opposed to obligatory parasites that can only be followed until the third larval stage. We therefore propose Halicephalobus gingivalis as an experimental tool to deepen our understanding of the biology of anthelmintic tolerance. ", Parasitology 
10.2217/PGS.12.126,Integrative systems biology approaches in asthma pharmacogenomics,"Abstract: In order to improve therapeutic outcomes, there is a tremendous need to identify patients who are likely to respond to a given asthma treatment. Pharmacogenomic studies have explained a portion of the variability in drug response and provided an increasing list of candidate genes and SNPs. However, as phenotypic variation arises from a network of complex interactions among genetic and environmental factors, rather than individual genes or SNPs, a multidisciplinary, systems-level approach is required in order to understand the inter-relationships among these factors. Systems biology, which seeks to capture interactions between genetic factors and other variables, offers a promising approach to improved therapeutic outcomes in asthma. This aritcle will review and update progress in the pharmacogenomics of asthma and then discuss the application of systems biology approaches to asthma pharmacogenomics. ", Pharmacology & Pharmacy 
10.1094/PHYTO-02-12-0019-R,Bacterial Canker on Kiwifruit in Italy: Anatomical Changes in the Wood and in the Primary Infection Sites,"Abstract: Renzi, M., Copini, P., Taddei, A. R., Rossetti, A., Gallipoli, L., Mazzaglia, A., and Balestra, G. M. 2012. Bacterial canker on kiwifruit in Italy: Anatomical changes in the wood and in the primary infection sites. Phytopathology 102:827-840.
The bacterial canker of kiwifruit caused by Pseudomonas syringae pv. actinidiae is a severe threat to kiwifruit production worldwide. Many aspects of P syringae pv. actinidiae biology and epidemiology still require in-depth investigation. The infection by and spread of P syringae pv. actinidiae in xylem and phloem was investigated by carrying out artificial inoculation experiments with histological and dendrochronological analyses of naturally diseased plants in Italy. We found that the bacterium can infect host plants by entering natural openings and lesions. In naturally infected kiwifruit plants, P syringae pv. actinidiae is present in the lenticels as well as in the dead phloem tissue beneath the lenticels, surrounded by a lesion in the periderm which appears to indicate the importance of lenticels to kiwifruit infection. Biofilm formation was observed outside and inside plants. In cases of advanced stages of P syringae pv. actinidiae infection, neuroses of the phloem occur, which are followed by cambial dieback and most likely by infection of the xylem. Anatomical changes in wood such as reduced ring width, a drastic reduction in vessel size, and the presence of tyloses were observed within several infected sites. In the field, these changes occur only a year after the first leaf symptoms are observed suggesting a significant time lapse between primary and secondary symptoms. It was possible to study the temporal development of P. syringae pv. actinidiae-induced cambial dieback by applying dendrochronology methods which revealed that cambial dieback occurs only during the growing season. ", Plant Sciences 
10.1016/j.placenta.2012.06.010,Endothelin-1 stimulates human trophoblast cell migration through Cdc42 activation,"Abstract: Purpose: This study investigated the role and mechanism of Cdc42 in Endothelin-1 (ET-1)-induced trophoblast cell migration.
Methods: We examined ET-1-mediated stimulation of trophoblast migration with HTR-8/SVneo cells. Cdc42 activation was measured after ET-1 treatment of HTR-8/SVneo cells. To determine the ET receptor subtype involved in ET-1-mediated Cdc42 activation, experiments were performed in the presence of ETA and ETB receptor antagonists. Finally, using siRNA we knocked down the expression of Cdc42 to examine the involvement of Cdc42 in the regulation of ET-1-stimulated trophoblast cell migration.
Results: ET-1 was shown to have a dose-dependent effect on trophoblast migration. At low concentrations of ET-1 (0.1 nmol/L) ET-1 had a stimulatory effect on cell migration. ET-1 (10 nmol/L) increased HTR-8/svneo cell migration index by 2.5 fold. ET-1 (10 nmol/L) elevated protein level and activity of Cdc42. ET1 induced activation of Cdc42 GTPase was mediated by both ETA and ETB. ET-1-induced cell migration was shown to be inhibited by Cdc42 siRNA.The inhibition was not mitigated by the addition of ET-1, suggesting that Cdc42 plays an important role in trophoblast migration and is obligatory for ET-1 action.
Conclusions: ET-1 stimulates EVT migration through Cdc42 activation. (C) 2012 Elsevier Ltd. All rights reserved. ", Developmental Biology; Obstetrics & Gynecology; Reproductive Biology 
10.1016/j.plaphy.2012.06.015,Molecular characterization of stress resistance-related chitinase genes of Brassica rapa,"Abstract: Brassica is an important vegetable group worldwide that is impacted by biotic and abiotic stresses. Molecular biology techniques offer the most efficient approach to address these concerns. Inducible plant defense responses include the production of pathogenesis-related (PR) proteins, and chitinases are very important PR proteins. We collected 30 chitinase like genes, three from our full-length cDNA library of Brassica rapa cv. Osome and 27 from Brassica databases. Sequence analysis and comparison study confirmed that they were all class I-V and VII chitinase genes. These genes also showed a high degree of homology with other biotic stress resistance-related plant chitinases. An organ-specific expression of these genes was observed and among these, seven genes showed significant responses after infection with Fusarium oxysporum tsp. conglutinans in cabbage and sixteen genes showed responsive expression after abiotic stress treatments in Chinese cabbage. BrCLP1, 8, 10, 17 and 18 responded commonly after biotic and abiotic stress treatments indicating their higher potentials. Taken together, the results presented herein suggest that these chitinase genes may be useful resources in the development of stress resistant Brassica. (C) 2012 Elsevier Masson SAS. All rights reserved. ", Plant Sciences 
10.1371/journal.pone.e0026800,The ZIP-prion connection,"Abstract: The evolutionary origins of vertebrate prion genes had remained elusive until recently when multiple lines of evidence converged to the proposition that members of the prion gene family represent an ancient branch of a larger family of ZIP metal ion transporters.(1) A follow-up investigation which explored the mechanism of evolution in more detail led to the surprising conclusion that the emergence of the prion founder gene likely involved the reverse transcription of a spliced transcript of a LIV-1 ZIP predecessor gene.(2) The objective of this perspective is to discuss the possible significance of this reunion of ZIP and prion gene subfamilies for understanding the biology of the prion protein in health and disease. While a recent review article broadly introduced this area of research,(3) the emphasis here is to comment on some of the more pertinent concepts, experimental paradigms, ongoing developments and challenges. ", Biochemistry & Molecular Biology 
10.4161/pri.20199,Prion formation by a yeast GLFG nucleoporin,"Abstract: The self-assembly of proteins into higher order structures is both central to normal biology and a dominant force in disease. Certain glutamine/asparagine (Q/N)-rich proteins in the budding yeast Saccharomyces cerevisiae assemble into self-replicating amyloid-like protein polymers, or prions, that act as genetic elements in an entirely protein-based system of inheritance. The nuclear pore complex (NPC) contains multiple Q/N-rich proteins whose self-assembly has also been proposed to underlie structural and functional properties of the NPC. Here we show that an essential sequence feature of these proteins-repeating GLFG motifs-strongly promotes their self-assembly into amyloids with characteristics of prions. Furthermore, we demonstrate that Nup100 can form bona fide prions, thus establishing a previously undiscovered ability of yeast GLFG nucleoporins to adopt this conformational state in vivo. ", Biochemistry & Molecular Biology 
10.1002/pro.2117,Optimization of designed armadillo repeat proteins by molecular dynamics simulations and NMR spectroscopy,"Abstract: A multidisciplinary approach based on molecular dynamics (MD) simulations using homology models, NMR spectroscopy, and a variety of biophysical techniques was used to efficiently improve the thermodynamic stability of armadillo repeat proteins (ArmRPs). ArmRPs can form the basis of modular peptide recognition and the ArmRP version on which synthetic libraries are based must be as stable as possible. The 42-residue internal Arm repeats had been designed previously using a sequence-consensus method. Heteronuclear NMR revealed unfavorable interactions present at neutral but absent at high pH. Two lysines per repeat were involved in repulsive interactions, and stability was increased by mutating both to glutamine. Five point mutations in the capping repeats were suggested by the analysis of positional fluctuations and configurational entropy along multiple MD simulations. The most stabilizing single C-cap mutation Q240L was inferred from explicit solvent MD simulations, in which water penetrated the ArmRP. All mutants were characterized by temperature- and denaturant-unfolding studies and the improved mutants were established as monomeric species with cooperative folding and increased stability against heat and denaturant. Importantly, the mutations tested resulted in a cumulative decrease of flexibility of the folded state in silico and a cumulative increase of thermodynamic stability in vitro. The final construct has a melting temperature of about 85 degrees C, 14.5 degrees higher than the starting sequence. This work indicates that in silico studies in combination with heteronuclear NMR and other biophysical tools may provide a basis for successfully selecting mutations that rapidly improve biophysical properties of the target proteins. ", Biochemistry & Molecular Biology 
10.1530/REP-12-0153,The emerging role of CXC chemokines in epithelial ovarian cancer,"Abstract: In recent years, chemokines have generated intense investigations due to their involvement in both physiological and pathological processes of inflammation, particularly in ovarian biology. The physiological process of ovulation in the normal ovary involves various chemokines that mediate the healing of the ruptured endometrium. It is now being reported that many of these chemokines are also associated with the cancer of the ovary. Chronic inflammation underlies the progression of ovarian cancer; therefore, it raises the possibility that chemokines are involved in the inflammatory process and mediate immune responses that may favour or inhibit tumour progression. Ovarian cancer is a gynaecological cancer responsible for highest rate of mortality in women. Although there have been several investigations and advances in surgery and chemotherapy, the survival rate for this disease remains low. This is mainly because of a lack of specific symptoms and biomarkers for detection. In this review, we have discussed the emerging role of the CXC chemokines in epithelial ovarian cancer (EOC). The CXC group of chemokines is gaining importance in the field of ovarian cancer for being angiostatic and angiogenic in function. While there have been several studies on the angiogenesis function, emerging research shows that ELR- CXC chemokines, CXCL9 and CXCL10, are angiostatic. Importantly, the angiostatic chemokines can inhibit the progression of EOC. Given that there are currently no biomarkers or specific therapeutic targets for the disease, these chemokines are emerging as promising targets for therapy. Reproduction (2012) 144 303-317 ", Developmental Biology; Reproductive Biology 
10.1016/j.reprotox.2012.05.092,Relative parameter sensitivity in prenatal toxicity studies with substances classified as developmental toxicants,"Abstract: Developmental toxicity testing according to the globally standardized OECD 414 protocol is an important basis for decisions on classification and labeling of developmental toxicants in the European Union (EU). This test requires relatively large animal numbers, given that parental and offspring generations are involved. In vitro assay designs and systems biology paradigms are being developed to reduce animal use and to improve prediction of human hazard. Such approaches could benefit from the long-term experience with animal protocols and more specifically from information on the relevance of effects observed in these tests for developmental toxicity. Therefore, we have analyzed relative parameter sensitivity in 22 publicly available developmental toxicity studies, representing about one third of all classified developmental toxicants under European legislation. Maternal and fetal weight effects and fetal survival were most often affected parameters at the developmental Lowest Observed Adverse Effect Level (dLOAEL), followed by skeletal malformations. Specific end points such as cleft palate were observed in fewer studies at dLOAEL, but if observed may have been crucial in classification and labeling decisions. These results are similar to earlier studies using different selections of chemicals, indicating that in general classified developmental toxicants have a similar pattern of effects at the dLOAEL as chemicals in general. These findings are discussed within the perspective of the development of innovative alternative approaches to developmental hazard assessment. (C) 2012 Elsevier Inc. All rights reserved. ", Reproductive Biology; Toxicology 
10.1007/s11160-011-9249-z,"A review of the biology, ecology, distribution and control of Mozambique tilapia, Oreochromis mossambicus (Peters 1852) (Pisces: Cichlidae) with particular emphasis on invasive Australian populations","Abstract: Oreochromis mossambicus (Peters 1852) are native to the eastward flowing rivers of central and southern Africa but from the early 1930s they have been widely distributed around the world for aquaculture and for biological control of weeds and insects. While O. mossambicus are now not commonly used as an aquaculture species, the biological traits that made them a popular culture species including tolerance to wide ranging ecological conditions, generalist dietary requirements and rapid reproduction with maternal care have also made them a 'model' invader. Self-sustaining populations now exist in almost every region to which they have been imported. In Australia, since their introduction in the 1970s, O. mossambicus have become established in catchments along the east and west coasts and have the potential to colonise other adjacent drainages. It is thought that intentional translocations are likely to be the most significant factor in their spread in Australia. The ecological and physical tolerances and preferences, reproductive behaviour, hybridization and the high degree of plasticity in the life history traits of O. mossambicus are reviewed. Impacts of O. mossambicus on natural ecosystems including competitive displacement of native species, habitat alteration, predation and as a vector in the spread of diseases are discussed. Potential methods for eradicating or controlling invasive populations of O. mossambicus including physical removal, piscicides, screens, environmental management and genetic technologies are outlined. ", Fisheries; Marine & Freshwater Biology 
10.1007/s11160-012-9262-x,A technical note on seasonal growth models,"Abstract: The growth of many organisms is seasonal, with a dependence on variation in temperature, light, and food availability. A growth model proposed by Somers (Fishbyte 6:8-11, 1988) is one of the most widely used models to describe seasonal growth. We point out that three different formulae (beyond numerous typographical errors) have been used in the literature referring to Somers (Fishbyte 6:8-11, 1988). These formulae correspond to different curves and yield different parameter estimates with different biological interpretations. These inconsistencies have led to the wrong identification of the period of lowest growth rate (winter point) in some papers of the literature. We urge authors to carefully edit their formulae to assure use of the original definition in Somers (Fishbyte 6:8-11, 1988). ", Fisheries; Marine & Freshwater Biology 
10.1007/s11160-012-9263-9,"A global review of the cosmopolitan flathead mullet Mugil cephalus Linnaeus 1758 (Teleostei: Mugilidae), with emphasis on the biology, genetics, ecology and fisheries aspects of this apparent species complex","Abstract: This study reviews published information on Mugil cephalus from around the world, with recent genetic studies indicating that the flathead mullet may indeed be a species complex. Disciplines that are covered range from the taxonomy, genetics and systematics, through a variety of biological and ecological attributes, to biomarker and fisheries studies. The eurytopic nature of M. cephalus is emphasized, with the migratory life history covering a succession of very different aquatic environments (e.g. rivers, estuaries, coastal lakes/lagoons, marine littoral, open ocean), each of which is occupied for varying lengths of time, depending on the population characteristics within a region and the life-history stage of the species. Interpretation of these movements over time has been greatly enhanced by the use of otolith microchemistry which has enabled scientists to map out the different habitats occupied by individual fish at the different life stages. The range of physico-chemical attributes within these environments necessitates a wide tolerance to differing conditions, especially with regard to salinity, turbidity, dissolved oxygen and temperature, all of which are discussed in this review. The importance of M. cephalus to the ecological functioning of coastal systems is emphasized, as well as the pivotal role that this species fulfills in fisheries in some parts of the world. The parasites range from internal trematode and cestode infestations, to external branchyuran and copepod parasites, which use M. cephalus as either an intermediate or final host. The value of the flathead mullet as a biomarker for the monitoring of the health of coastal habitats is discussed, as well as its potential as an indicator or sentinel species for certain ecosystems. ", Fisheries; Marine & Freshwater Biology 
10.1007/s11160-012-9268-4,"Sperm biology and control of reproduction in sturgeon: (I) testicular development, sperm maturation and seminal plasma characteristics","Abstract: Sturgeon (Chondrostei, Acipenseriformes) are threatened or endangered species due to overfishing and environmental degradation causing disruption of natural reproduction. Commercial sturgeon aquaculture and conservation program requires broodfish management as well as biogeographical and biological knowledge. Therefore, control of sturgeon reproduction in captivity can become as a valid tool in the field of sustainable development. The main objectives of the present review were to summarize, describe and synthesize available data about neuroendocrine control of testicular development, spermiation induction, seminal plasma characteristics and factors affecting sperm quality. In sturgeon, puberty usually occurs late in life and adult males do not spawn on an annual basis. Gonadal differentiation and spermatogonia proliferation occurs at 1-2 and 2-3 year-old, respectively. In spermatogenesis, environmental stimuli affect hypothalamus to release GnRH, which induce FSH release from pituitary stimulating testicular androgenesis, which is involved in spermatogonial proliferation and spermatogenesis. At spawning season, GnRH stimulates LH production from pituitary, regulating 17 alpha,20 beta-dihydroxy-4-pregnen-3-one production in testis, which control sperm maturation. In captivity, hormonal treatment is essential to induce spermiation. Chemical and biochemical compounds of the seminal plasma are important to protect viability, motility and fertilizing capacity of spermatozoa. Several kinds of acrosomal enzymes have been identified in sturgeon seminal plasma; higher concentrations reported in the frozen/thawed than fresh sperm suggesting their origination from spermatozoa. Moreover, there are numerous factors that influence on sperm quality including temperature, methods for spermiation induction, stripping frequency and stress. ", Fisheries; Marine & Freshwater Biology 
10.1002/rra.1502,ENVIRONMENTAL DETERMINANTS OF WATER QUALITY IN BOREAL RIVERS BASED ON PARTITIONING METHODS,"Abstract: Quantitative studies of the relationships between river water quality and environmental variables are needed to improve understanding of the impacts of natural and human factors on aquatic environments. However, multicollinearity between environmental variables can hinder the identification of key factors when water qualityenvironment relationship is studied using traditional regression methods. This study utilized two alternative statistical methods, variation and hierarchical partitioning, to address these difficulties in studies of river water quality. Using these methods, we explored the effects of catchment physiography, climate and land use variables on total phosphorus and nitrogen, pH, water colour and dissolved oxygen during the years 19952005 in 32 boreal rivers in Finland. Catchment physiography and land use explained most of the variation in water quality, especially in phosphorus, nitrogen and water colour data. The strong correlations (rs?>?0.8) between agricultural land use and phosphorus and nitrogen concentrations indicate that water quality is highly affected by agriculture in boreal regions. By determining the environmental drivers of different water quality variables, we can estimate the water quality of different catchments in response to environmental changes and identify areas that are sensitive to global changes. Our study shows that novel statistical methods integrated with geographic information system data and techniques provide deeper insights into water qualityenvironment relationships than traditional regression, and these should be considered when developing, for example, conservation planning for rivers. Copyright (c) 2011 John Wiley & Sons, Ltd. ", Environmental Sciences; Water Resources 
10.1016/j.semcdb.2012.03.014,Intestinal redox biology and oxidative stress,"Abstract: The intestinal epithelium sits at the interface between an organism and its luminal environment, and as such is prone to oxidative damage induced by luminal oxidants. Mucosal integrity is maintained by the luminal redox status of the glutathione/glutathione disulfide (GSH/GSSG) and cysteine/cystine (Cys/CySS) couples which also support luminal nutrient absorption, mucus fluidity, and a diverse microbiota. The epithelial layer is uniquely organized for rapid self-renewal that is achieved by the well-regulated processes of crypt stem cell proliferation and crypt-to-villus cell differentiation. The GSH/GSSG and Cys/CySS redox couples, known to modulate intestinal cell transition through proliferation, differentiation or apoptosis, could govern the regenerative potential of the mucosa. These two couples, together with that of the thioredoxin/thioredoxin disulfide (Trx/TrxSS) couple are the major intracellular redox systems, and it is proposed that they each function as distinctive redox control nodes or circuitry in the control of metabolic processes and networks of enzymatic reactions. Specificity of redox signaling is accomplished in part by subcellular compartmentation of the individual redox systems within the mitochondria, nucleus, endoplasmic reticulum, and cytosol wherein each defined redox environment is suited to the specific metabolic function within that compartment. Mucosal oxidative stress would result from the disruption of these unique redox control nodes, and the subsequent alteration in redox signaling can contribute to the development of degenerative pathologies of the intestine, such as inflammation and cancer. (C) 2012 Elsevier Ltd. All rights reserved. ", Cell Biology; Developmental Biology 
10.1007/s11214-012-9879-z,The Sample Analysis at Mars Investigation and Instrument Suite,"Abstract: The Sample Analysis at Mars (SAM) investigation of the Mars Science Laboratory (MSL) addresses the chemical and isotopic composition of the atmosphere and volatiles extracted from solid samples. The SAM investigation is designed to contribute substantially to the mission goal of quantitatively assessing the habitability of Mars as an essential step in the search for past or present life on Mars. SAM is a 40 kg instrument suite located in the interior of MSL's Curiosity rover. The SAM instruments are a quadrupole mass spectrometer, a tunable laser spectrometer, and a 6-column gas chromatograph all coupled through solid and gas processing systems to provide complementary information on the same samples. The SAM suite is able to measure a suite of light isotopes and to analyze volatiles directly from the atmosphere or thermally released from solid samples. In addition to measurements of simple inorganic compounds and noble gases SAM will conduct a sensitive search for organic compounds with either thermal or chemical extraction from sieved samples delivered by the sample processing system on the Curiosity rover's robotic arm. ", Astronomy & Astrophysics 
